Denominación,ER Referencia eroski,ER Area,ER sec,ER cat,ER subcat,ER segmento,ER Producto,ER Marca,ER Referencia eroski,ER Formato,ER Gramaje,ER Gramaje en miles,ER Unidades,ER Unidad medida,ER Origen,ER Variedad,ER Calibre,PVP tarifa eroski,PVP oferta eroski tienda,ER Precio/kg o precio/unidad,ER Precio/kg o precio/unidad oferta,ER Código ean,Venta media Eroski,ER Tipo de promoción,PVP oferta eroski HORECA,PVP oferta eroski HORECA PRECIO/KG,ER Oferta HORECA,Distance,Ref competidor,Den competidor,Marca competidor,Cod ean del competidor,Formato,Gramaje,Unidad de medida,Gramaje unitario en miles,Unidades,Gramaje total,Origen,Variedad,Calibre,PVP tarifa competidor,PVP oferta 1 competidor,PVP oferta 2 competidor,Precio/kg o precio/unidad,Precio/kg o precio/unidad oferta 1,Precio/kg o precio/unidad oferta 2,Tipo de promo 1 en %,Tipo de promo,dif bruto del mejor precio (nuestro vs competencia) incl HORECA,dif bruto del mejor precio (nuestro vs competencia) sin dto HORECA,dIf porcentual mejor precio sin Horeka,dif porcentual del mejor precio (nuestro vs competencia) incl HORECA,dif porcentual de tarifa (nuestra tarifa vs tarifa competencia),dif porcentual del mes anterior (dato del mes anterior),dif media del registro historico de meses anteriores
"Vodka SKY, botella 70 cl",25637828,2-ALIMENTACION,11-BEBIDAS,18-BEBIDAS DE ALTA GRADUACION,7-VODKA,10-VODKA ESTANDAR,"Vodka SKY, botella 70 cl",SKY,25637828,BOTELLA,"0,7",700,1,L,,,,"17,99",,"25,70",,,"0,42",,"15,29","21,85",15%," 'distance': 2,996626615524292",213476,"SKYY vodka botella 70 cl Alc, 40% vol,'",SKYY,,BOTELLA,"0,70",L,700,1,700,,,,"15,23",,,"21,76",,,,,"0,09","3,94",15%,0%,15%,15%,18%
"Cuchara de mesa Hotel, inox 18/0 JAY, 3 uds",16107872,4-BAZAR,20-MENAJE,1-SERVICIO DE MESA,7-CUBIERTOS,"1-DESPIECE DE CUBIERTOS EN INOX,","Cuchara de mesa Hotel, inox 18/0 JAY, 3 uds",JAY,16107872,INOX,3,3000,3,UDS,,,,"3,15",,"1,05",,,"1,42",,,,," 'distance': 3,6660757064819336",502294,'Jay cuchara mesa hotel 18% contiene 6 unidades',JAY,,UNIDAD,"0,05",UDS,51,6,306,,,,"5,63","4,79",,"0,94","0,80",,15%,COMPRA MAS PAGA MENOS,"0,25","0,25",24%,24%,11%,11%,17%
"Ginebra Rose LARIOS, botella 70 cl",18350751,2-ALIMENTACION,11-BEBIDAS,18-BEBIDAS DE ALTA GRADUACION,3-GINEBRA,20-GINEBRA SABORES,"Ginebra Rose LARIOS, botella 70 cl",LARIOS,18350751,BOTELLA,"0,7",700,1,L,España,,,"14,75",,"21,07",,,"0,23",,"12,54","17,91",15%," 'distance': 0,9176228642463684",152026,Larios Rosé ginebra rojo botella 70cl',LARIOS ROSÉ,,BOTELLA,"0,70",L,700,1,700,,,,"13,9",,,"19,86",,,,,"-1,95","1,21",6%,-11%,6%,15%,18%
"Bitter sin alcohol KAS ZERO, pack 6x20 cl",24959041,2-ALIMENTACION,11-BEBIDAS,10-BEBIDAS REFRESCANTES,11-C/G BITTER Y ADULTO,1-C/G BITTER,"Bitter sin alcohol KAS ZERO, pack 6x20 cl",KAS,24959041,PACK,"1,2",1200,1,L,,,,"5,99",,"4,99",,,"0,61",,"4,79","3,99",20%," 'distance': 5,549660682678223",734474,'KAS bitter botella 20cl contiene 24 unidades',KAS,,BOTELLA,"0,20",L,200,24,4800,,,,"18,86","17,73",,"3,93","3,69",,6%,COMPRA MAS PAGA MENOS,"0,30","1,30",26%,8%,21%,17%,19%
"Vino Blanco Dulce D,O, Valencia EL NOVIO PERFECTO, botella 75 cl",17155078,2-ALIMENTACION,11-BEBIDAS,14-VINO D.O.,"9-VINOS D,O, TINTOS",83-VINO¿TINTO¿OTRAS¿ZONAS¿,"Vino Blanco Dulce D,O, Valencia EL NOVIO PERFECTO, botella 75 cl",EL NOVIO PERFECTO,17155078,BOTELLA,"0,75",750,1,L,,,,"8,59",,"11,45",,,"0,11",,"7,30","9,74",15%," 'distance': 0,7865245342254639",138949,'El Novio Perfecto vino blanco botella 75cl',EL NOVIO PERFECTO,,BOTELLA,"0,75",L,750,1,750,,,,"7,20","6,12",,"9,60","8,16",,15%,COMPRA MAS PAGA MENOS,"1,58","3,29",29%,16%,16%,16%,18%
"Ron Reserva 15 años MATUSALEM, botella 70 cl",14544357,2-ALIMENTACION,11-BEBIDAS,18-BEBIDAS DE ALTA GRADUACION,5-RON,7-RON¿OSCURO PREMIUM,"Ron Reserva 15 años MATUSALEM, botella 70 cl",MATUSALEM,14544357,BOTELLA,"0,7",700,1,L,,,,"42,30",,"60,43",,,0,,"35,96","51,36",15%," 'distance': 3,211979389190674",39361,"Matusalem ron 15 años botella 70cl Alc, 38% vol,",MATUSALEM,,BOTELLA,"0,7",L,700,1,700,,,,"33,87",,,"48,39",,,,,"2,97","12,04",20%,6%,20%,20%,20%
"Sidra extra sin alcohol EL GAITERO, botella 70 cl",16423717,2-ALIMENTACION,11-BEBIDAS,16-ESPUMOSOS,5-SIDRAS,10-OTRAS SIDRAS ACHAMPANADAS,"Sidra extra sin alcohol EL GAITERO, botella 70 cl",EL GAITERO,16423717,BOTELLA,"0,7",700,1,L,,,,"2,95",,"4,21",,,"0,57",,"2,36","3,37",20%," 'distance': 1,3167506456375122",127007,'El Gaitero sidra sin alcohol botella 75cl',EL GAITERO,,BOTELLA,"0,75",L,750,1,750,,,,"2,65",,,"3,53",,,,,"-0,16","0,68",16%,-5%,16%,16%,18%
"Cerveza CRUZCAMPO, lata 33 cl",158253,2-ALIMENTACION,11-BEBIDAS,8-CERVEZAS,1-CERVEZAS LAGER,5-CERVEZAS LAGER LATA,"Cerveza CRUZCAMPO, lata 33 cl",CRUZCAMPO,158253,LATA,"0,33",330,1,L,España,,,"0,77",,"2,33",,,"0,38",,"0,58","1,75",25%," 'distance': 1,110182523727417",653796,'Cruzcampo cerveza 33cl contiene 24 latas',CRUZCAMPO,,LATA,"0,33",L,330,24,7920,,,,"12,52",,,"1,58",,,,,"0,17","0,75",32%,10%,32%,45%,28%
"Cava Brut Gran BACH, botella 75 cl",4852976,2-ALIMENTACION,11-BEBIDAS,16-ESPUMOSOS,3-CAVAS,3-CAVAS BRUT,"Cava Brut Gran BACH, botella 75 cl",BACH,4852976,BOTELLA,"0,75",750,1,L,,,,"7,95","5,17","10,60","6,89",,"0,03",2nd unit-70%,"4,13","5,51",20%," 'distance': 0,4641111493110657",6821,'Bach cava gran brut botella 75cl',BACH,,BOTELLA,"0,75",L,750,1,750,,,,"6,35",,,"8,47",,,,,"-2,95","-1,58",-23%,-54%,20%,20%,19%
"Vino Blanco D,O, Cataluña TORRES VIÑA SOL, botella 75 cl",308031,2-ALIMENTACION,11-BEBIDAS,14-VINO D.O.,"5-VINOS D,O,BLANCOS","23-VINO BLANCO D,O, CATALUNYA","Vino Blanco D,O, Cataluña TORRES VIÑA SOL, botella 75 cl",VIÑA SOL,308031,BOTELLA,"0,75",750,1,L,,,,"5,90","5,02","7,87","6,69",,0,15%,"4,26","5,68",15%," 'distance': 1,2658939361572266",891709,Viña Sol vino blanco Penedés botella 75cl',VIÑA SOL,,BOTELLA,"0,75",L,750,1,750,,,,"4,83",,,"6,44",,,,,"-0,76","0,25",4%,-13%,18%,18%,19%
"Aceite de oliva virgen extra COOSUR, botella 250 ml",18121848,2-ALIMENTACION,9-COCINA,1-ACEITE,3-ACEITE OLIVA VIRGEN,6-ESPECIALES PEQUEÑOS Y SPRAYS,"Aceite de oliva virgen extra COOSUR, botella 250 ml",COOSUR,18121848,BOTELLA,"0,25",250,1,L,,,,"2,49",,"9,96",,,"2,3",,"2,37","9,46",5%," 'distance': 0,5986438393592834",219242,'Coosur aceite de oliva virgen extra 500 ml',COOSUR,,BOTELLA,"0,50",L,500,1,500,,,,"4,11",,,"8,22",,,,,"1,24","1,74",17%,13%,17%,31%,23%
"Aperitivo sin alcohol Vibrante MARTINI, botella 75 cl",23531999,2-ALIMENTACION,11-BEBIDAS,18-BEBIDAS DE ALTA GRADUACION,19-LICORES S/ALCOHOL,1-LICOR SIN ALCOHOL,"Aperitivo sin alcohol Vibrante MARTINI, botella 75 cl",MARTINI,23531999,BOTELLA,"0,75",750,1,L,Italia,,,"11,55","9,01","15,40","12,01",,"0,03",22%,"7,66","10,21",15%," 'distance': 2,367443799972534",202448,'MARTINI VIBRANTE sin alcohol botella 75 cl',MARTINI,,BOTELLA,"0,75",L,750,1,750,,,,"10,35",,,"13,80",,,,,"-3,59","-1,79",-15%,-35%,10%,20%,20%
"Ginebra GORDON`S, botella 70 cl",916460,2-ALIMENTACION,11-BEBIDAS,18-BEBIDAS DE ALTA GRADUACION,3-GINEBRA,3-GINEBRA ESTANDAR,"Ginebra GORDON`S, botella 70 cl",GORDON'S,916460,BOTELLA,"0,7",700,1,L,Reino Unido,,,"13,20",,"18,86",,,"0,19",,"11,22","16,03",15%," 'distance': 1,046797513961792",42265,"""GORDON'S ginebra botella 1L""",GORDON'S,,BOTELLA,"1,00",L,1000,1,1000,,,,"15,19",,,"14,75",,,,,"1,28","4,11",22%,8%,22%,22%,21%
"Aceite de oliva virgen extra HOJIBLANCA, garrafa 5 litros",984034,2-ALIMENTACION,9-COCINA,1-ACEITE,3-ACEITE OLIVA VIRGEN,5-ACEITE VIRGEN FORMATOS GRANDES,"Aceite de oliva virgen extra HOJIBLANCA, garrafa 5 litros",HOJIBLANCA,984034,GARRAFA,5,5000,1,L,,,,"34,69",,"6,94",,,"0,19",,"32,96","6,59",5%," 'distance': 3,5694408416748047",132028,Hojiblanca aceite oliva virgen extra bidón 5l',HOJIBLANCA,,BIDON,"5,00",L,5000,1,5000,,,,"29,63",,,"5,93",,,,,"0,67","1,01",15%,10%,15%,13%,16%
"Aceite de oliva virgen extra CARBONELL, botella 1 litro",6984447,2-ALIMENTACION,9-COCINA,1-ACEITE,3-ACEITE OLIVA VIRGEN,"15-ACEITE V, EXTRA FORMATO PET","Aceite de oliva virgen extra CARBONELL, botella 1 litro",CARBONELL,6984447,BOTELLA,1,1000,1,L,,,,"7,69","5,00","7,69","5,00",,"31,46",2nd unit-70%,"4,75","4,75",5%," 'distance': 3,211979389190674",8063,"Carbonell Profesional, Aceite de Oliva Virgen Extra",CARBONELL,,BIDON,5,L,5000,1,5000,,,,"28,55",,,"5,71",,,,,"-0,96","-0,71",-14%,-20%,26%,28%,23%
"Pan con masa madre RUSTIK BAKERY, paquete 400 g",19399542,2-ALIMENTACION,10-DULCE,26-PAN DE MOLDE,15-PAN ESPECIALIDADES,10-PAN RUSTICO Y ARTESANO,"Pan con masa madre RUSTIK BAKERY, paquete 400 g",RUSTIK BAKERY,19399542,PAQUETE,"0,4",400,1,KG,,,,"2,89",,"7,23",,,"7,63",,"2,75","6,86",5%," 'distance': 3,3277530670166016",157194,'Rustik pan hogaza masa madre 450g',RUSTIK,,BOLSA/BOLSON,"0,45",KG,450,1,450,,,,"2,44",,,"5,42",,,,,"1,44","1,80",25%,21%,25%,21%,20%
"Pacharán IGP Navarra BASARANA Etiqueta Negra, botella 1 litro",317255,2-ALIMENTACION,11-BEBIDAS,18-BEBIDAS DE ALTA GRADUACION,15-PATXARAN Y PONCHE,"2-PATXARAN CON I,G,P,","Pacharán IGP Navarra BASARANA Etiqueta Negra, botella 1 litro",BASARANA,317255,BOTELLA,1,1000,1,L,,,,"14,16",,"14,16",,,"0,8",,"12,04","12,04",15%," 'distance': 1,254056692123413",35223,'Basarana pacharan etiqueta negra botella 1L',BASARANA,,BOTELLA,"1,00",L,1000,1,1000,,,,"12,28",,,"12,09",,,,,"-0,05","2,07",15%,0%,15%,23%,21%
"Vermut Blanco PETRONI, botella 75 cl",26188573,2-ALIMENTACION,11-BEBIDAS,18-BEBIDAS DE ALTA GRADUACION,25-VERMOUTH,3-VERMOUTH BLANCO,"Vermut Blanco PETRONI, botella 75 cl","ST, PETRONI",26188573,BOTELLA,"0,75",750,1,L,España,,,"12,79",,"17,05",,,"0,19",,"10,87","14,50",15%," 'distance': 1,0369365215301514",196701,"St,Petroni vermut blanco botella 1L'",PETRONI,,BOTELLA,"1,00",L,1000,1,1000,,,,"13,18",,,"13,18",,,,,"1,32","3,87",23%,9%,23%,21%,21%
Sirope de caramelo EROSKI bote 300 g,24615304,2-ALIMENTACION,9-COCINA,21-REPOSTERIA,7-INGREDIENTES Y AYUDAS,3-CARAMELOS Y SIROPES,Sirope de caramelo EROSKI bote 300 g,EROSKI,24615304,BOTE,"0,3",300,1,KG,,,,"1,75",,"5,83",,,"0,23",,,,," 'distance': 0,5075972080230713",157714,rioba sirope caramelo botella jarabe de azucar agua aromatizacion aromatizacion caramelo natural color amoniaco caramelo sulfitado,RIOBA,,BOTELLA,"0,7",KG,700,1,700,,,,"3,58","3,26",,"4,64","4,22",,9%,COMPRA MAS PAGA MENOS,"1,61","1,61",28%,28%,20%,20%,20%
"Ron Elixir de Cuba LEGENDARIO, botella 70 cl",5873104,2-ALIMENTACION,11-BEBIDAS,18-BEBIDAS DE ALTA GRADUACION,5-RON,5-RON¿OSCURO¿ESTANDAR,"Ron Elixir de Cuba LEGENDARIO, botella 70 cl",LEGENDARIO,5873104,BOTELLA,"0,7",700,1,L,Cuba,,,"19,05",,"27,21",,,"0,3",,"16,19","23,13",15%," 'distance': 2,685819149017334",390676,"Legendario ron 7 años botella 70cl Alc, 34% vol,'",LEGENDARIO,,BOTELLA,"0,70",L,700,1,700,,,,"13,61",,,"19,44",,,,,"3,69","7,77",29%,16%,29%,28%,22%
"Copa de chocolate-nata DANONE, pack 2x110 g",7105117,2-ALIMENTACION,5-LACTEOS,4-YOGURES Y POSTRES,6-POSTRES ESPECIALES,82-COPAS CON NATA,"Copa de chocolate-nata DANONE, pack 2x110 g",DE POSTRE,7105117,PACK,"0,22",220,1,KG,,,,"1,99",,"9,05",,,"5,61",,,,," 'distance': 2,0087406635284424",466739,'DANONe la copa chocolate-nata 110 g contiene 2 unidades',DANONE,,PACK,"0,11",KG,110,2,220,,,,"1,38",,,"6,27",,,,,"2,77","2,77",31%,31%,31%,36%,26%
"Vino Tinto Crianza D,O,C, Rioja SOLAGUEN, botella 75 cl",5900154,2-ALIMENTACION,11-BEBIDAS,14-VINO D.O.,"9-VINOS D,O, TINTOS","53-VINO TINTO D,O, RIOJA CRIANZA","Vino Tinto Crianza D,O,C, Rioja SOLAGUEN, botella 75 cl",SOLAGUEN,5900154,BOTELLA,"0,75",750,1,L,España,,,"7,35",,"9,80",,,"2,19",,"6,25","8,33",15%," 'distance': 0,4924549460411072",602264,'Solaguen vino tinto crianza Rioja botella 75cl',SOLAGUEN,,BOTELLA,"0,75",L,750,1,750,,,,"5,55",,,"7,40",,,,,"0,93","2,40",24%,11%,24%,24%,21%
"Lasagna sin gluten SCHARD, bandeja 300 g",16281834,2-ALIMENTACION,10-DULCE,39-REFRIGERADO Y CONGEL S/GLUTEN,10-PRODUCTOS CONGELADOS S/G,20-PLATOS PREPARADOS CONGELADOS,"Lasagna sin gluten SCHARD, bandeja 300 g",SCHAR,16281834,BANDEJA,"0,3",300,1,KG,,,,"4,59",,"15,30",,,"0,5",,,,," 'distance': 3,140455484390259",165124,Schar lasagna de carne sin gluten 300g',SCHAR,,BANDEJA,"0,30",KG,300,1,300,,,,"3,73","3,36",,"12,43","11,19",,10%,COMPRA MAS PAGA MENOS,"4,11","4,11",27%,27%,19%,17%,19%
"Pistachos tostados con sal, bolsa 200 g",22307896,1-FRESCOS,1-FRUTA Y HORTALIZA,25-GRANELES,10-FRUTOS SECOS GRANEL,15-PISTACHOS,"Pistachos tostados con sal, bolsa 200 g",EROSKI,22307896,BOLSA,"0,2",200,1,KG,,,,"4,49",,"22,45",,,"1,15",,,,," 'distance': 3,9130911827087402",78627,'makro Chef pistachos tostados bolsa 500 g',MAKRO CHEF,,BOLSA/BOLSON,"0,50",KG,500,1,500,,,,"8,97",,,"17,94",,,,,"4,51","4,51",20%,20%,20%,30%,23%
Yema de esparrago grueso EROSKI frasco 110 g,5965850,2-ALIMENTACION,8-SALADO,12-ESPARRAGOS,11-YEMAS Y TALLOS DE ESPARRAGOS,1-YEMAS DE ESPARRAGOS,Yema de esparrago grueso EROSKI frasco 110 g,EROSKI,5965850,FRASCO,"0,11",110,1,KG,,,,"1,89",,"17,18",,,,,,,," 'distance': 0,784006297588348",4735,ALESVES Carretilla esparrago yema blanco lata 135gne contiene 4 unidades (205 g),ALESVES,,LATA,"0,205",KG,205,4,820,,,,"11,17",,,"13,62",,,,,"3,56","3,56",21%,21%,21%,21%,21%
"Aguardiente de hierbas RUAVIEJA, botella 70 cl",138909,2-ALIMENTACION,11-BEBIDAS,18-BEBIDAS DE ALTA GRADUACION,9-AGUARDIENTES Y ORUJOS,1-AGUARDIENTES¿Y¿ORUJOS HIERBAS,"Aguardiente de hierbas RUAVIEJA, botella 70 cl",RUAVIEJA,138909,BOTELLA,"0,7",700,1,L,España,,,"10,55","9,28","15,07","13,26",,"0,38",12%,"7,89","11,27",15%," 'distance': 1,1916205883026123",495469,'Ruavieja licor hierbas botella 70cl',RUAVIEJA,,BOTELLA,"0,70",L,700,1,700,,,,"8,17",,,"11,67",,,,,"-0,40","1,59",12%,-4%,23%,19%,20%
"Aceite de oliva 0,4º CARBONELL, botella 1 litro",379271,2-ALIMENTACION,9-COCINA,1-ACEITE,1-ACEITES OLIVA,"1-ACEITE DE OLIVA 0,4 1L","Aceite de oliva 0,4º CARBONELL, botella 1 litro",CARBONELL,379271,BOTELLA,1,1000,1,L,,,,"6,99",,"6,99",,,"17,76",,"6,64","6,64",5%," 'distance': 1,0649311542510986",190028,"Carbonell aceite de oliva 0,4º 1l",CARBONELL,,BOTELLA,"1,00",L,1000,1,1000,,,,"5,04",,,"7,12",,,,,"-0,48","-0,13",-2%,-7%,-2%,-2%,14%
Pimentón picante EROSKI frasco 47 g,238071,2-ALIMENTACION,9-COCINA,35-ESPECIAS,5-ESPECIAS,6-PIMENTON PICANTE,Pimentón picante EROSKI frasco 47 g,EROSKI,238071,FRASCO,"0,047",47,1,KG,,,,"1,06",,"22,55",,,,,,,," 'distance': 0,8524624109268188",212571,METRO Premium pimenton picante dop 800 g,METRO PREMIUM,,PAQUETE,"0,8",KG,800,1,800,,,,"14,29",,,"17,86",,,,,"4,69","4,69",21%,21%,21%,21%,21%
"Bayeta suave 30% microfibras VILEDA, pack 2+1 ud",13272927,2-ALIMENTACION,12-DROGUERIA,59-UTILES DE LIMPIEZA,7-BAYETAS,5-BAYETA¿MULTIUSOS SINTÉTICA,"Bayeta suave 30% microfibras VILEDA, pack 2+1 ud",VILEDA,13272927,PACK,3,3000,3,UDS,,,,"2,85","2,14","0,95","0,71",,"2,76",2nd unit-50%,,,," 'distance': 0,728377640247345",170621,vileda Bayeta microfibra color 16 unidades,VILEDA,,BLISTER,"0,34",UDS,340,16,5440,,,,"13,3",,,"0,83",,,,,"-0,12","-0,12",-17%,-17%,13%,24%,22%
"Tequila PATRON SILVER, botella 70 cl",26333500,2-ALIMENTACION,11-BEBIDAS,18-BEBIDAS DE ALTA GRADUACION,8-TEQUILA,5-TEQUILA BLANCO,"Tequila PATRON SILVER, botella 70 cl",PATRON,26333500,BOTELLA,"0,7",700,1,L,México,,,"69,19",,"98,84",,,0,,"58,81","84,02",15%," 'distance': 2,6855125427246094",218398,"PATRÓN reposado tequila botella 70 cl Alc, 40% vol,'",PATRÓN,,BOTELLA,"0,70",L,700,1,700,,,,"55,53",,,"79,33",,,,,"4,69","19,51",20%,6%,20%,28%,22%
"Limpia cristales CRISTASOL, botella 1,25L",17797895,2-ALIMENTACION,12-DROGUERIA,50-LIMPIADORES,21-ZONAS ESPECIFICAS,2-CRISTALES,"Limpia cristales CRISTASOL, botella 1,25L",CRISTASOL,17797895,BOTELLA,"1,25",1250,1,L,,,,"2,99",,"2,39",,,"0,92",,"2,84","2,27",5%," 'distance': 1,2391639947891235",155384,'Cristasol Limpiacristales cristalino 5L',CRISTASOL,,BOTELLA,"5,00",L,5000,1,5000,,,,"9,67",,,"1,93",,,,,"0,34","0,46",19%,15%,19%,19%,22%
"Vino Tinto Crianza D,O, Rioja VIÑA REAL, botella 75 cl",318287,2-ALIMENTACION,11-BEBIDAS,14-VINO D.O.,"9-VINOS D,O, TINTOS","53-VINO TINTO D,O, RIOJA CRIANZA","Vino Tinto Crianza D,O, Rioja VIÑA REAL, botella 75 cl",VIÑA REAL,318287,BOTELLA,"0,75",750,1,L,España,,,"8,80",,"11,73",,,"0,26",,"7,48","9,97",15%," 'distance': 0,2970881462097168",64857,Viña Real vino tinto crianza Rioja botella 75cl',VIÑA REAL,,BOTELLA,"0,75",L,750,1,750,,,,"7,13","6,42",,"9,51","8,56",,10%,COMPRA MAS PAGA MENOS,"1,42","3,18",27%,14%,19%,22%,21%
"Nata ASTURIANA, spray 250 ml",818146,2-ALIMENTACION,5-LACTEOS,12-NATAS-CREMAS,2-NATA MONTAR,18-NATA SPRAY,"Nata ASTURIANA, spray 250 ml",ASTURIANA,818146,SPRAY,"0,25",250,1,L,España,,,"2,75",,"11,00",,,"0,8",,"2,06","8,25",25%," 'distance': 2,5770702362060547",31524,'Asturiana nata spray 28% materia grasa 500 ml',ASTURIANA,,BOTELLA,"0,50",L,500,1,500,,,,"4,17","3,75",,"8,34","7,51",,10%,COMPRA MAS PAGA MENOS,"0,74","3,49",32%,9%,24%,24%,22%
Salsa ligera EROSKI bote 430 ml,23475064,2-ALIMENTACION,9-COCINA,3-SALSAS,"3-MAYONESAS, S.FINAS Y S.LIGERAS",12-SALSAS LIGERAS PET,Salsa ligera EROSKI bote 430 ml,EROSKI,23475064,BOTE,"0,43",430,1,L,,,,"1,23",,"2,86",,,"2,8",,"1,05","2,43",15%," 'distance': 0,708765387535095",914251,makro Chef salsa fina cubo 5l,MAKRO CHEF,,CUBO,5,L,5000,1,5000,,,,"12,86",,,"2,57",,,,,"-0,14","0,29",10%,-6%,10%,10%,17%
"Palo para fregona universal VILEDA, pack 1 ud",647263,2-ALIMENTACION,12-DROGUERIA,59-UTILES DE LIMPIEZA,16-PALOS,3-PALOS 140CM,"Palo para fregona universal VILEDA, pack 1 ud",VILEDA,647263,PACK,1,1000,1,UDS,,,,"5,29",,"5,29",,,"1,3",,,,," 'distance': 3,211979389190674",117959,vileda palo universal,VILEDA,,BOLSA/BOLSON,"0,308",UDS,308,1,308,,,,"4,17",,,"4,17",,,,,"1,12","1,12",21%,21%,21%,21%,21%
"Vino Tinto Crianza R. del Duero PROTOS, botella 75 cl",10140457,2-ALIMENTACION,11-BEBIDAS,14-VINO D.O.,9-VINOS D.O. TINTOS,48-V.TTO.D.O.RIBERA DUERO CRIANZA,"Vino Tinto Crianza R. del Duero PROTOS, botella 75 cl",PROTOS,10140457,BOTELLA,"0,75",750,1,L,,,,"21,39",,"28,52",,,"0,11",,"18,18","24,24",15%," 'distance': 0,240641131997108",525980,Protos vino tinto crianza Ribera botella 75cl,PROTOS,,BOTELLA,"0,75",L,750,1,750,,,,"15,67","14,89",,"20,89","19,85",,5%,COMPRA MAS PAGA MENOS,"4,39","8,67",30%,18%,27%,17%,20%
"Licor PLATA O PLOMO, botella 70 cl",25559014,2-ALIMENTACION,11-BEBIDAS,18-BEBIDAS DE ALTA GRADUACION,17-LICORES CON ALCOHOL,15-LICOR BASE WHISKY,"Licor PLATA O PLOMO, botella 70 cl",PLATA O PLOMO,25559014,BOTELLA,"0,7",700,1,L,,,,"14,25",,"20,36",,,"0,8",,"12,11","17,30",15%," 'distance': 0,7369806170463562",208158,'Plata O Plomo Licor artesanal botella 70 cl',PLATA O PLOMO,,BOTELLA,"0,70",L,700,1,700,,,,"11,19",,,"15,99",,,,,"1,32","4,37",21%,8%,21%,21%,21%
"Cuajada ROYAL, 16 raciones, caja 48 g",356154,2-ALIMENTACION,9-COCINA,21-REPOSTERIA,5-RECETAS TRADICIONALES,4-CUAJADAS,"Cuajada ROYAL, 16 raciones, caja 48 g",ROYAL,356154,CAJA,"0,048",48,1,KG,España,,,"1,45",,"30,21",,,"1,23",,,,," 'distance': 3,021448850631714",110287,Royal cuajada láctea sobre 24 g contiene 36 unidades (total 864 g)\xa0',ROYAL,,CAJA/CAJON,"0,86",KG,864,1,864,,,,"25,36",,,"29,35",,,,,"0,86","0,86",3%,3%,3%,3%,14%
"Salmón ahumado MARTIKO, sobre 200 g",13870662,1-FRESCOS,7-PESCADERIA,12-ESPECIALIDADES,25-AHUMADOS,5-SALMON LONCHAS,"Salmón ahumado MARTIKO, sobre 200 g",MARTIKO,13870662,SOBRE,"0,2",200,1,KG,,,,"13,95",,"69,75",,,"1,96",,"10,46","52,31",25%," 'distance': 1,7278170585632324",185534,Martiko salmón ahumado noruego 250 g contiene 2 unidades (total 500 g)',MARTIKO,,UNIDAD,"0,50",KG,500,1,500,,,,"28,48",,,"56,96",,,,,"-4,65","12,79",18%,-9%,18%,18%,20%
"Ginebra Strawberry PUERTO DE INDIAS, botella 70 cl",17365370,2-ALIMENTACION,11-BEBIDAS,18-BEBIDAS DE ALTA GRADUACION,3-GINEBRA,20-GINEBRA SABORES,"Ginebra Strawberry PUERTO DE INDIAS, botella 70 cl",PUERTO DE INDIAS,17365370,BOTELLA,"0,7",700,1,L,España,,,"15,95",,"22,79",,,"0,03",,"13,56","19,37",15%," 'distance': 1,2381172180175781",141411,"Puerto DE Indias ginebra strawberry botella 70 cl Alc, 35",PUERTO DE INDIAS,,BOTELLA,"0,70",L,700,1,700,,,,"15,11",,,"21,59",,,,,"-2,22","1,20",5%,-11%,5%,9%,16%
"Cava Brut Milessime JUVE Y CAMPS, botella 75 cl",14393813,2-ALIMENTACION,11-BEBIDAS,16-ESPUMOSOS,3-CAVAS,3-CAVAS BRUT,"Cava Brut Milessime JUVE Y CAMPS, botella 75 cl",JUVE Y CAMPS,14393813,BOTELLA,"0,75",750,1,L,,,,"29,90",,"39,87",,,0,,"23,92","31,89",20%," 'distance': 0,186781525611877",507065,Juve & Camps cava brut milesime Chardonnay botella 75cl,JUV√â & CAMPS,,BOTELLA,"0,75",L,750,1,750,,,,"24,91",,,"33,21",,,,,"-1,32","6,65",17%,-4%,17%,17%,20%
"REFRESCO DE NARANJA 9x0,33KAS",26222620,2-ALIMENTACION,11-BEBIDAS,10-BEBIDAS REFRESCANTES,3-C/G NARANJA,10-C/G NARANJA REG PEQUE,"REFRESCO DE NARANJA 9x0,33KAS",KAS,26222620,PACK,"2,97",2970,1,L,,,,"6,12",,"2,06",,,"2,88",,"4,90","1,65",20%," 'distance': 0,812170743942261",217730,KAS naranja lata 33 cl contiene 24 unidades,KAS,,LATA,"0,33",L,330,24,7920,,,,"10,76","10,11",,"1,36","1,28",,6%,COMPRA MAS PAGA MENOS,"0,37","0,78",38%,23%,34%,31%,25%
"Té verde moruno POMPADOUR, caja 20 sobres",12451480,2-ALIMENTACION,10-DULCE,10-INFUSIONES,20-TE BOLSITAS,20-TE BOLSITAS OTROS,"Té verde moruno POMPADOUR, caja 20 sobres",POMPADOUR,12451480,CAJA,,,20,SOBRES,España,,,"2,99",,"0,15",,,"0,26",,,,," 'distance': 3,211979389190674",178948,POMPADOUR té verde lemongras contiene 20 unidades 35 g,POMPADOUR,,CAJA/CAJON,"0,04",SOBRES,35,20,700,,,,"2,19",,,"0,11",,,,,"0,04","0,04",27%,27%,27%,27%,24%
